sensor_id,timestamp,waste_type,inductive_property,capacitive_property,moisture_property,infrared_property
4,2023-12-20 20:30:00,1,0.66,0.87,0.09,4.91
2,2023-12-24 10:45:00,1,1.22,0.58,0.91,48.32
3,2024-02-16 11:15:00,0,1.07,0.9,0.17,24.31
2,2023-09-07 02:15:00,1,1.35,0.76,0.7,62.84
2,2023-11-22 14:45:00,0,0.94,0.6,0.3,8.65
3,2023-09-08 12:00:00,2,0.92,0.79,0.01,38.75
2,2023-09-11 09:00:00,2,0.64,0.54,0.13,46.8
4,2024-02-14 23:30:00,1,0.67,0.16,0.59,23.6
4,2024-02-29 14:15:00,2,1.32,0.52,0.65,43.58
4,2023-09-19 20:45:00,1,1.39,1.0,0.5,93.28
3,2024-01-20 11:30:00,2,0.74,0.17,0.69,88.29
4,2024-02-25 20:45:00,2,1.01,0.27,0.13,1.84
3,2024-01-11 23:30:00,2,0.68,0.28,0.71,51.57
4,2024-01-21 06:30:00,1,1.18,0.54,0.4,89.95
3,2023-10-02 12:00:00,2,0.66,0.83,0.89,78.99
1,2024-02-11 13:45:00,1,0.6,0.84,0.0,34.1
3,2023-12-12 18:45:00,0,1.07,0.77,0.06,33.96
3,2024-02-22 16:45:00,0,0.82,0.44,0.02,48.45
4,2023-10-28 01:00:00,1,0.95,0.36,0.01,28.87
4,2024-01-30 20:30:00,1,0.68,0.06,0.26,1.24
2,2024-02-24 15:30:00,0,0.63,0.03,0.83,63.28
1,2023-11-12 02:00:00,2,1.13,0.86,0.26,59.65
2,2023-10-17 08:30:00,1,0.95,0.77,0.29,25.14
2,2023-09-30 19:30:00,0,0.84,0.07,0.44,29.6
3,2024-02-12 05:45:00,0,1.18,0.18,0.88,11.17
1,2023-09-12 06:30:00,1,0.87,0.8,0.87,72.72
3,2024-02-26 07:15:00,1,0.71,0.11,0.82,78.52
2,2023-11-12 12:45:00,0,1.0,0.58,0.69,14.07
1,2023-10-21 22:00:00,1,1.22,0.09,0.76,56.23
3,2024-02-11 02:30:00,1,1.09,0.39,0.23,79.67
4,2023-12-28 07:30:00,1,1.08,0.59,0.17,1.34
1,2023-09-15 09:00:00,0,1.38,0.74,0.96,50.77
4,2023-12-04 21:15:00,2,1.19,0.78,0.67,71.07
3,2024-01-02 22:15:00,2,0.97,0.18,0.99,34.76
2,2023-10-01 18:15:00,2,1.24,0.02,0.49,55.29
3,2023-12-03 05:15:00,1,1.25,0.92,0.62,77.43
4,2023-09-22 00:45:00,0,0.73,0.97,0.7,67.65
2,2024-01-05 12:15:00,1,1.34,0.72,0.05,89.39
1,2024-01-11 11:00:00,2,1.33,0.67,0.05,22.09
4,2023-11-09 17:15:00,0,1.05,0.84,0.1,10.86
1,2023-09-09 07:30:00,1,1.22,0.66,0.29,59.89
3,2024-01-25 23:00:00,1,0.99,0.62,0.51,15.96
2,2023-11-13 15:00:00,2,0.97,0.21,0.32,27.2
1,2024-02-07 20:45:00,2,1.02,0.04,0.23,84.66
1,2024-01-19 12:15:00,0,1.02,0.75,0.1,20.51
3,2023-10-04 08:45:00,2,1.17,0.66,0.58,74.54
1,2024-01-19 20:15:00,2,1.08,0.9,0.7,77.34
4,2024-01-29 12:15:00,0,1.0,0.13,0.06,99.82
1,2023-11-11 11:30:00,1,1.24,0.47,0.9,75.11
3,2023-09-16 04:30:00,0,0.79,0.67,0.09,14.95
1,2024-02-02 23:45:00,1,1.31,0.52,0.01,65.11
2,2023-10-28 08:15:00,1,1.22,0.86,0.3,6.09
4,2023-10-21 21:30:00,2,1.36,0.5,0.92,21.92
2,2023-09-24 06:45:00,0,1.29,0.09,0.96,28.6
1,2023-12-14 19:00:00,2,0.73,0.74,0.46,70.5
3,2023-10-11 13:30:00,0,1.2,0.63,0.22,69.0
1,2024-03-05 07:15:00,0,1.2,0.95,0.3,94.66
4,2024-01-05 15:45:00,1,1.31,0.49,0.79,37.64
1,2023-09-27 22:45:00,0,0.64,0.21,0.13,81.47
1,2024-01-20 22:30:00,1,1.32,0.24,0.37,85.92
2,2024-02-04 17:30:00,1,0.78,0.33,0.7,37.45
3,2024-01-18 21:30:00,2,1.32,0.55,0.06,42.5
4,2024-02-03 15:00:00,0,0.62,0.77,0.45,32.69
2,2024-01-20 21:45:00,2,0.71,0.85,0.98,55.33
1,2023-10-08 10:00:00,2,0.8,0.72,0.1,72.66
4,2024-03-05 08:45:00,0,0.6,0.91,0.13,42.63
2,2023-12-18 06:45:00,2,0.79,0.3,0.4,10.43
1,2023-09-30 10:45:00,1,0.87,0.7,0.52,90.35
2,2024-02-03 17:15:00,0,1.29,0.55,0.36,0.87
4,2024-01-09 20:15:00,0,0.91,0.26,0.41,1.4
1,2024-03-14 16:30:00,2,0.9,0.25,0.9,50.03
1,2023-12-14 17:00:00,1,0.72,0.94,0.82,69.74
3,2023-10-03 08:45:00,2,1.24,0.96,0.49,92.71
4,2023-12-26 10:30:00,0,1.13,0.61,0.46,75.0
1,2024-01-30 05:15:00,0,0.6,0.9,0.4,78.74
2,2024-02-24 00:30:00,1,0.74,0.31,0.56,1.15
3,2024-03-25 16:15:00,1,0.77,0.31,0.36,67.44
4,2023-10-13 21:45:00,0,1.04,0.96,0.18,44.7
4,2023-10-21 23:15:00,1,0.91,0.23,0.57,49.24
1,2024-02-21 16:15:00,1,1.24,0.14,1.0,18.17
4,2024-02-07 20:30:00,0,1.04,0.03,0.53,78.35
4,2023-09-09 21:45:00,2,0.98,0.7,0.89,79.42
2,2024-02-16 22:00:00,0,0.68,0.16,0.64,99.24
2,2024-02-05 17:30:00,0,1.05,0.2,0.69,85.03
1,2024-03-12 07:30:00,0,0.77,0.76,0.41,22.81
4,2023-09-02 15:30:00,2,0.76,0.34,0.14,14.13
2,2024-03-07 17:00:00,0,0.86,0.66,0.88,31.32
2,2023-11-13 02:30:00,2,1.28,0.03,0.2,40.53
4,2023-10-18 12:15:00,0,1.4,0.14,0.33,46.85
2,2023-12-14 20:45:00,2,0.69,0.17,0.85,83.26
1,2023-11-29 09:15:00,0,1.38,0.98,0.63,75.97
1,2023-09-20 09:45:00,1,0.86,0.13,0.69,62.9
2,2023-12-07 13:00:00,0,1.07,0.34,0.76,71.52
2,2024-03-11 21:45:00,1,0.68,0.14,0.45,21.07
4,2024-02-29 04:00:00,0,0.94,0.55,0.78,2.6
3,2024-02-26 14:00:00,1,1.35,0.38,0.79,35.05
2,2023-12-05 03:45:00,0,1.36,0.76,0.39,98.08
4,2024-02-01 12:15:00,1,1.08,0.09,0.9,13.74
4,2024-03-27 04:00:00,0,1.32,0.39,0.33,26.36
3,2023-09-20 02:15:00,2,1.09,0.09,1.0,66.16
3,2024-03-09 10:15:00,0,0.62,0.43,0.35,39.01
3,2023-09-25 09:30:00,2,0.64,0.42,0.36,17.73
1,2023-09-08 21:15:00,0,0.88,0.4,0.64,42.87
3,2024-01-14 11:45:00,2,0.91,0.17,0.11,94.11
3,2024-03-12 06:00:00,1,1.36,0.36,0.67,81.47
4,2024-02-24 18:00:00,0,1.28,0.46,0.5,29.34
3,2024-01-05 12:45:00,2,1.25,0.51,0.56,1.92
4,2024-02-21 07:45:00,0,1.29,0.04,0.45,49.31
1,2024-03-13 16:45:00,1,1.26,0.51,0.03,50.4
1,2023-11-01 15:45:00,0,0.91,0.24,0.87,61.99
1,2024-03-01 04:00:00,2,1.32,0.5,0.11,90.37
1,2024-03-07 19:15:00,0,1.26,0.75,0.7,13.76
1,2024-01-05 03:15:00,1,0.88,0.22,0.03,75.67
1,2023-12-07 05:45:00,2,1.35,0.96,0.89,64.5
4,2024-01-20 05:45:00,0,1.37,0.18,0.2,70.87
1,2023-12-29 08:00:00,0,0.65,0.33,0.76,21.94
3,2024-03-20 15:15:00,2,0.71,0.64,0.58,24.64
3,2024-01-04 09:30:00,0,1.12,0.51,0.46,36.68
3,2023-10-05 15:15:00,1,0.68,0.74,0.41,84.72
3,2023-10-05 20:30:00,0,1.16,0.95,0.6,8.79
2,2023-12-30 20:00:00,2,1.2,0.56,0.7,37.2
2,2023-11-20 07:45:00,0,0.73,0.14,0.05,67.02
3,2023-12-19 06:30:00,0,0.96,0.42,0.8,2.77
2,2024-03-26 06:45:00,2,0.76,0.67,0.61,5.51
1,2023-10-04 13:15:00,1,0.74,0.29,0.14,63.88
4,2023-12-01 10:00:00,1,1.37,0.89,0.48,70.23
3,2023-09-18 16:30:00,1,0.69,0.65,0.35,96.11
3,2023-12-29 18:15:00,2,1.03,0.66,0.37,89.81
3,2023-12-05 01:00:00,2,0.62,0.86,0.39,83.04
1,2023-09-11 18:00:00,1,0.95,0.1,0.53,75.92
2,2023-12-11 17:15:00,2,1.06,0.85,0.19,17.73
2,2024-01-23 15:00:00,1,1.0,0.05,0.11,89.86
1,2023-12-05 03:30:00,2,1.02,0.98,0.92,14.01
1,2023-12-10 08:15:00,2,1.19,0.45,0.55,56.56
4,2023-12-24 18:30:00,1,0.85,0.55,0.61,23.7
2,2024-02-05 09:15:00,0,1.32,0.56,0.71,29.52
4,2023-10-13 08:00:00,2,1.33,0.18,0.04,25.75
4,2023-10-12 00:30:00,0,1.29,0.9,0.48,23.5
2,2023-11-15 21:45:00,0,1.09,0.67,0.15,12.47
3,2023-10-12 19:45:00,2,0.97,0.72,0.39,35.58
4,2023-10-05 15:30:00,1,0.79,0.6,0.36,7.26
4,2024-01-21 18:00:00,1,1.03,0.15,0.38,12.87
4,2023-12-26 01:00:00,2,0.65,0.85,0.7,9.55
3,2023-11-10 01:15:00,1,0.8,0.25,0.78,11.1
2,2023-11-24 09:15:00,2,1.38,0.8,0.19,50.65
4,2024-01-04 21:30:00,2,1.09,0.37,0.69,17.58
4,2024-02-01 00:15:00,1,0.87,0.01,0.94,30.51
1,2023-10-11 08:45:00,1,0.74,0.31,0.86,45.66
2,2024-01-28 16:00:00,2,1.05,0.16,0.84,32.92
1,2023-11-23 00:30:00,0,0.8,0.8,0.78,36.9
4,2023-12-18 04:15:00,2,1.31,0.78,0.06,76.77
4,2024-02-22 02:45:00,1,0.67,0.58,0.03,68.96
3,2023-10-23 17:15:00,2,1.08,1.0,0.43,87.05
4,2023-11-22 09:15:00,2,0.78,0.13,0.79,88.27
4,2023-09-28 18:45:00,1,0.82,0.49,0.31,47.43
1,2023-10-16 00:00:00,0,0.63,0.53,0.59,55.61
3,2023-09-03 21:45:00,0,0.7,0.49,0.58,39.97
1,2023-10-23 21:45:00,1,1.4,0.02,0.78,52.47
1,2024-01-12 00:45:00,2,1.31,0.29,0.38,63.53
4,2023-10-03 08:15:00,1,1.04,0.31,1.0,24.07
2,2024-03-19 00:45:00,2,1.23,0.04,0.05,38.9
2,2024-03-09 12:45:00,0,1.29,0.73,0.3,88.94
4,2024-02-08 19:45:00,0,0.74,0.93,0.85,31.0
1,2023-10-30 10:15:00,0,1.12,0.3,0.18,76.44
1,2023-11-15 06:15:00,2,1.3,0.0,0.59,72.58
3,2024-01-09 23:45:00,2,1.36,0.06,0.82,26.43
3,2024-01-16 20:00:00,1,1.22,0.27,0.7,70.65
3,2024-02-17 21:45:00,1,1.0,0.58,0.87,46.0
3,2023-09-29 22:15:00,1,0.73,0.19,0.75,84.86
3,2024-03-11 04:30:00,1,0.67,0.15,0.52,75.57
4,2024-02-25 19:00:00,1,0.9,0.06,0.96,40.35
2,2023-10-15 14:00:00,0,0.85,0.95,0.14,80.41
3,2023-10-20 01:30:00,0,0.74,0.69,0.06,36.32
1,2023-11-04 04:30:00,0,0.76,0.99,0.64,55.59
3,2023-12-22 17:00:00,0,1.0,0.2,0.12,21.27
2,2024-03-14 22:45:00,1,1.13,0.25,0.88,15.83
2,2023-10-22 18:00:00,2,1.37,0.5,0.39,99.41
4,2023-11-16 20:30:00,0,1.31,0.54,0.39,0.13
3,2023-10-01 02:00:00,2,1.34,0.04,0.95,80.12
4,2024-03-22 11:30:00,0,1.3,0.14,0.85,59.16
1,2024-01-14 15:45:00,2,1.19,0.95,0.24,82.82
3,2023-11-06 22:30:00,1,1.34,0.31,0.32,30.64
2,2024-02-07 21:00:00,1,1.18,0.69,0.81,68.74
3,2023-11-15 09:15:00,2,0.87,0.83,0.36,82.36
1,2024-01-21 02:45:00,2,1.26,0.11,0.08,98.6
4,2023-10-02 04:00:00,1,1.07,0.68,0.32,9.19
1,2023-11-05 05:00:00,1,0.68,0.73,0.43,73.59
2,2024-03-17 13:15:00,1,1.34,0.98,0.6,20.17
3,2024-02-18 04:45:00,0,0.64,0.01,0.98,7.3
1,2023-09-15 01:00:00,0,1.32,0.35,0.41,54.94
1,2024-03-26 01:30:00,2,1.32,0.38,0.63,69.92
1,2023-11-03 05:15:00,1,0.79,0.57,0.59,50.41
1,2024-03-05 01:15:00,2,0.7,0.71,0.56,66.93
2,2024-03-09 12:15:00,1,0.61,0.06,0.17,10.34
1,2023-09-03 07:00:00,2,0.77,0.78,0.85,88.76
2,2023-10-25 05:30:00,0,0.63,0.41,0.06,35.64
3,2023-09-02 16:45:00,2,1.13,0.42,0.93,52.78
2,2023-09-16 13:30:00,0,1.25,0.56,0.62,36.39
2,2024-01-20 08:45:00,1,0.98,0.77,0.65,68.84
2,2023-09-04 23:00:00,0,1.22,0.4,0.84,31.36
4,2023-11-09 06:15:00,2,0.94,0.63,0.41,57.26
3,2023-10-09 05:30:00,0,0.73,0.14,0.17,84.06
4,2023-09-05 08:45:00,0,1.35,0.46,0.89,6.68
4,2023-12-21 08:30:00,0,0.8,0.61,0.22,56.36
2,2024-02-29 09:00:00,1,0.77,0.72,0.87,32.4
2,2024-03-06 15:30:00,2,1.11,0.02,0.54,97.85
1,2023-12-04 16:45:00,2,0.7,0.69,0.78,39.82
1,2023-12-24 07:30:00,0,1.15,0.21,0.02,35.6
4,2023-09-22 22:00:00,1,1.39,0.02,0.92,60.07
2,2023-09-18 21:00:00,0,1.39,0.64,0.01,62.44
2,2023-10-09 16:30:00,1,1.23,0.37,0.65,42.3
4,2023-09-16 12:00:00,1,1.33,0.46,0.56,83.79
3,2023-10-05 10:00:00,2,1.34,0.76,0.17,40.1
4,2023-11-20 15:30:00,2,0.88,0.18,0.95,63.19
2,2024-01-06 20:30:00,0,1.14,0.79,0.36,46.9
2,2024-01-14 09:15:00,2,0.84,0.07,0.14,26.71
1,2024-02-23 15:30:00,2,0.63,0.0,0.36,85.28
4,2023-10-11 16:15:00,1,1.12,0.55,0.6,1.23
2,2023-12-03 04:30:00,1,0.87,0.32,0.46,14.02
3,2024-01-22 11:30:00,1,0.64,0.98,0.47,0.55
1,2024-02-20 02:15:00,2,0.75,0.84,0.76,76.45
1,2024-02-27 00:45:00,1,0.65,0.42,0.68,68.22
1,2024-01-21 19:00:00,2,1.36,0.6,0.57,17.16
3,2024-01-12 13:15:00,0,0.93,0.69,0.07,18.27
4,2024-01-12 02:30:00,0,0.9,0.95,0.58,95.03
2,2023-12-01 10:45:00,0,0.68,0.81,0.68,74.46
3,2023-12-07 12:15:00,2,1.1,0.16,0.06,6.53
1,2024-01-19 01:30:00,0,0.95,0.64,0.78,39.88
2,2023-11-15 13:45:00,1,1.0,0.62,0.38,37.19
2,2023-12-19 01:30:00,0,0.97,0.33,0.04,63.21
1,2023-11-10 18:30:00,2,1.14,0.4,0.8,95.49
4,2024-01-24 20:45:00,0,1.15,0.58,0.59,22.12
1,2023-09-25 09:15:00,0,1.13,0.61,0.6,71.38
2,2023-11-11 04:00:00,0,0.9,0.8,0.29,52.29
2,2023-09-20 23:15:00,0,0.76,0.85,0.26,30.42
4,2024-01-17 05:15:00,0,1.25,0.63,0.78,47.89
1,2023-11-11 12:45:00,0,1.05,0.48,0.5,79.62
3,2023-10-09 02:45:00,1,1.28,0.78,0.23,15.79
2,2024-03-18 14:45:00,0,0.82,0.43,0.19,61.71
3,2023-09-27 02:00:00,1,0.65,0.6,0.85,78.5
4,2023-09-29 17:45:00,2,0.97,0.87,0.63,62.69
1,2023-09-03 16:30:00,1,0.82,0.94,0.95,78.72
4,2023-12-10 16:15:00,1,0.63,0.27,0.68,6.9
2,2023-12-09 04:00:00,0,1.17,0.27,0.83,43.08
1,2023-11-30 22:45:00,1,1.22,0.53,0.8,72.22
1,2023-11-28 19:45:00,1,1.16,0.98,0.39,6.78
3,2023-10-03 23:30:00,0,0.8,0.26,0.73,1.42
4,2024-02-25 00:00:00,0,1.33,0.96,0.71,23.52
4,2024-02-29 18:15:00,1,1.3,0.68,0.15,99.4
4,2023-11-20 15:00:00,2,0.63,0.69,0.93,65.08
1,2024-02-20 08:00:00,2,1.17,0.24,0.18,52.4
4,2023-10-28 04:00:00,1,1.25,0.91,0.6,96.27
1,2023-11-19 19:30:00,2,0.9,0.62,0.04,95.13
4,2024-02-13 07:00:00,0,0.98,0.18,0.26,27.73
1,2023-10-24 20:30:00,1,0.77,0.73,0.53,53.02
3,2023-09-10 17:15:00,1,1.19,0.21,0.29,87.24
4,2023-11-11 01:45:00,1,1.01,0.79,0.44,27.7
2,2024-03-06 03:00:00,0,1.19,0.27,0.33,50.28
2,2024-02-29 15:00:00,2,0.95,0.07,0.28,6.73
4,2024-02-29 12:30:00,1,0.95,0.23,0.68,11.33
4,2024-02-06 10:15:00,2,0.91,0.17,0.33,50.81
3,2023-11-23 15:00:00,0,1.03,0.85,0.56,69.51
3,2024-02-15 00:15:00,0,0.91,0.23,0.31,22.01
2,2024-01-16 00:15:00,0,1.25,0.73,0.97,63.84
3,2024-01-16 18:45:00,2,1.11,0.19,0.12,17.41
1,2023-11-15 08:45:00,2,1.02,0.45,0.32,75.42
4,2023-10-02 14:00:00,0,0.8,0.85,0.93,84.92
4,2024-01-01 17:45:00,0,1.01,0.81,0.29,54.8
4,2023-12-10 13:45:00,2,0.99,0.7,0.47,28.15
4,2023-10-06 04:30:00,0,0.96,0.77,0.78,64.42
1,2023-12-21 13:30:00,2,0.97,0.53,0.03,89.36
1,2023-09-29 10:15:00,1,0.72,0.64,0.0,69.55
3,2024-03-09 00:30:00,0,0.62,0.92,0.72,25.91
3,2023-10-29 18:30:00,1,0.87,0.65,0.41,87.59
3,2023-12-02 15:15:00,1,1.28,0.28,0.61,22.54
4,2024-03-02 13:00:00,0,1.02,0.8,0.93,87.27
2,2024-01-14 17:15:00,2,1.37,0.02,0.57,63.54
1,2023-09-09 17:30:00,0,1.07,0.59,0.21,75.33
4,2024-02-22 21:15:00,1,0.69,0.36,0.3,5.52
1,2023-12-01 06:45:00,0,0.72,0.08,0.93,68.54
3,2023-09-09 08:15:00,1,1.35,0.69,0.68,90.26
1,2023-10-20 20:00:00,2,1.4,0.67,0.55,70.56
2,2023-11-03 11:45:00,0,1.39,0.5,0.91,65.94
1,2023-12-06 14:00:00,1,1.21,0.04,0.19,35.85
3,2023-11-08 15:45:00,1,0.94,0.31,0.12,91.6
2,2024-02-27 21:15:00,2,1.34,0.4,0.62,15.6
1,2024-02-19 12:30:00,0,1.07,0.03,0.87,17.38
2,2023-10-20 03:45:00,0,0.99,0.16,0.61,72.43
1,2024-02-27 17:15:00,1,0.61,0.01,0.84,83.67
2,2024-02-13 08:00:00,2,0.87,0.77,0.99,23.43
2,2024-01-16 11:15:00,1,1.15,0.34,0.85,56.15
3,2023-09-08 07:45:00,0,1.08,0.82,0.22,3.42
1,2023-09-21 02:45:00,0,0.79,0.38,0.85,7.82
2,2023-12-31 20:30:00,2,1.4,0.28,0.31,52.44
4,2024-03-21 18:45:00,0,1.15,0.34,0.68,43.03
1,2024-03-03 22:00:00,1,0.68,0.72,0.45,56.13
1,2024-02-01 10:45:00,2,0.76,0.23,0.54,10.82
4,2023-11-18 17:30:00,1,1.36,0.1,0.74,67.53
2,2024-02-10 06:45:00,0,0.85,0.59,0.61,73.92
4,2023-12-29 05:30:00,0,0.71,0.07,0.34,16.86
4,2024-03-04 21:00:00,1,1.21,0.29,0.42,82.87
1,2023-11-07 08:15:00,1,1.15,0.42,0.79,56.88
2,2024-03-27 16:00:00,2,0.72,0.7,0.31,31.83
3,2023-09-28 19:30:00,2,0.93,0.4,0.53,88.32
2,2023-12-15 16:45:00,1,1.34,0.37,0.01,87.37
1,2023-09-10 22:15:00,0,0.79,0.38,0.52,69.93
3,2023-11-03 06:30:00,0,1.06,0.02,0.27,8.44
1,2023-09-20 20:00:00,0,1.14,0.27,0.36,36.46
3,2023-10-19 03:15:00,2,1.09,0.77,0.49,21.49
4,2023-10-26 07:00:00,2,0.75,0.22,0.59,91.76
1,2023-11-09 09:15:00,1,1.29,0.64,0.0,20.02
2,2023-12-07 23:30:00,1,0.8,0.77,0.84,12.21
4,2023-12-21 05:15:00,0,0.79,0.29,0.3,95.92
1,2023-10-19 10:15:00,0,0.97,0.43,0.65,52.32
3,2024-03-06 09:45:00,0,1.07,0.32,0.4,69.82
3,2023-09-07 03:15:00,0,0.79,0.45,0.07,67.17
2,2023-11-27 03:15:00,2,0.6,0.11,0.68,9.51
1,2023-09-02 20:45:00,2,1.34,0.67,0.92,34.99
1,2023-09-13 03:00:00,2,0.81,0.93,0.72,78.55
3,2024-02-28 22:15:00,1,0.79,0.54,0.71,38.55
3,2024-03-22 09:15:00,1,1.14,0.45,0.01,1.7
1,2023-12-02 17:15:00,1,0.83,0.25,0.05,87.34
1,2024-02-03 23:45:00,1,0.97,0.87,0.37,29.96
2,2023-09-03 19:30:00,1,0.84,0.46,0.78,5.89
2,2023-12-01 21:45:00,1,0.93,0.57,0.95,81.84
1,2023-11-28 15:00:00,0,0.68,0.85,0.5,48.46
3,2024-01-06 09:45:00,2,0.95,0.55,0.09,50.51
2,2023-12-16 12:30:00,2,0.83,0.44,0.08,82.58
3,2023-10-19 19:15:00,1,1.33,0.96,0.2,46.68
3,2024-01-11 02:30:00,1,1.29,0.09,0.01,97.76
3,2023-11-26 09:30:00,1,1.1,0.32,0.72,92.21
3,2023-09-05 17:30:00,1,1.11,0.4,1.0,89.67
3,2024-02-06 18:00:00,0,0.81,0.12,0.25,71.42
3,2024-03-26 11:15:00,1,0.94,0.29,0.95,32.03
4,2023-11-07 03:45:00,2,1.3,0.97,0.5,65.28
3,2024-02-16 19:30:00,0,0.86,0.74,0.82,80.64
3,2023-09-26 12:45:00,0,0.91,0.71,0.25,65.69
3,2023-12-27 23:15:00,1,1.11,0.98,0.76,64.89
1,2024-01-04 08:15:00,1,0.61,0.93,0.7,13.16
3,2024-03-15 19:30:00,0,0.95,0.99,0.97,27.87
1,2023-10-06 06:00:00,0,0.72,0.98,0.95,21.43
2,2023-10-31 11:30:00,1,1.24,0.81,0.37,89.66
3,2024-02-22 07:00:00,1,0.85,0.76,0.78,43.85
1,2024-01-13 21:15:00,0,0.99,0.53,0.16,2.67
1,2024-03-22 00:15:00,0,0.87,0.04,0.78,37.67
4,2023-12-03 11:45:00,2,1.33,0.03,0.7,69.83
3,2023-12-12 23:15:00,2,1.25,0.94,0.75,45.55
3,2024-02-28 02:15:00,2,1.14,0.04,0.55,9.91
4,2024-01-12 18:30:00,2,0.75,0.29,0.17,63.06
